A0A1B0GTU1	ZC3H11B
A0A1B0GUS4	UBE2L5
A0AV96	RBM47
A0AVF1	TTC26
A0AVT1	UBA6
A0FGR8	ESYT2
A0MZ66	SHTN1
A0PJW6	TMEM223
A1A4S6	ARHGAP10
A1L020	MEX3A
A1L0T0	ILVBL
A1X283	SH3PXD2B
A2A3N6	PIPSL
A2RRP1	NBAS
A2RTX5	TARSL2
A2RU67	FAM234B
A2VDF0	FUOM
A3KMH1	VWA8
A3KN83	SBNO1
A4D1E9	GTPBP10
A4D1P6	WDR91
A4D1U4	KIAA1147
A4UGR9	XIRP2
A5D8V6	VPS37C
A5PLL7	PEDS1
A5PLN9	TRAPPC13
A5YKK6	CNOT1
A6NDG6	PGP
A6NDU8	C5orf51
A6NHL2	TUBAL3
A6NHQ2	FBLL1
A6NHR9	SMCHD1
A6NIH7	UNC119B
A6NIZ1	RAP1BL
A6NJ78	METTL15
A6NKD9	CCDC85C
A6NKF1	SAC3D1
A6NMT0	DBX1
A7E2V4	ZSWIM8
A8CG34	POM121C
A8MPP1	DDX11L8
A8MTT3	CEBPZOS
A8MVM7	A8MVM7
A8MXV4	NUDT19
A9UHW6	MIF4GD
B1AJZ9	FHAD1
B2RBV5	LOC93622
B2RTY4	MYO9A
B5MCY1	TDRD15
B7ZAP0	RABGAP1L
B8YQ01	B8YQ01
B9A064	IGLL5
E9PAV3	NACA
E9PRG8	C11orf98
L0R6Q1	SLC35A4
O00115	DNASE2
O00116	AGPS
O00139	KIF2A
O00148	DDX39A
O00151	PDLIM1
O00154	ACOT7
O00159	MYO1C
O00161	SNAP23
O00165	HAX1
O00170	AIP
O00178	GTPBP1
O00186	STXBP3
O00189	AP4M1
O00192	ARVCF
O00193	C11orf58
O00203	AP3B1
O00213	APBB1
O00217	NDUFS8
O00221	NFKBIE
O00231	PSMD11
O00232	PSMD12
O00233	PSMD9
O00244	ATOX1
O00255	MEN1
O00257	CBX4
O00264	PGRMC1
O00267	SUPT5H
O00268	TAF4
O00273	DFFA
O00291	HIP1
O00299	CLIC1
O00303	EIF3F
O00308	WWP2
O00311	CDC7
O00330	PDHX
O00399	DCTN6
O00400	SLC33A1
O00401	WASL
O00410	IPO5
O00411	POLRMT
O00422	SAP18
O00425	IGF2BP3
O00429	DNM1L
O00442	RTCA
O00443	PIK3C2A
O00458	IFRD1
O00459	PIK3R2
O00461	GOLIM4
O00462	MANBA
O00469	PLOD2
O00470	MEIS1
O00471	EXOC5
O00479	HMGN4
O00483	NDUFA4
O00487	PSMD14
O00488	ZNF593
O00505	KPNA3
O00507	USP9Y
O00541	PES1
O00560	SDCBP
O00566	MPHOSPH10
O00567	NOP56
O00571	DDX3X
O00584	RNASET2
O00592	PODXL
O00623	PEX12
O00625	PIR
O00629	KPNA4
O00716	E2F3
O00743	PPP6C
O00746	NME4
O00754	MAN2B1
